Country,Observation_Year,CovidPeriod,Online_Learning_Users (%),Average_Screen_Time (Hours),DeviceUsage(%),Preferred_Learning_Platform
South Africa,2021,During,27,5.2,60-30-10,Alura
Japan,2024,After,38,3.0,60-30-10,Tencent Classroom
Russia,2024,After,42,2.9,60-30-10,Alura
Japan,2018,Before,72,3.8,60-30-10,Tencent Classroom
Mexico,2021,During,26,4.8,60-30-10,FutureLearn
South Africa,2018,Before,10,4.5,60-30-10,Alura
Brazil,2020,During,87,2.1,60-30-10,OpenLearning
China,2018,Before,70,5.3,60-30-10,Udemy
Australia,2020,During,19,1.5,60-30-10,Skillshare
Russia,2023,After,62,4.7,60-30-10,LinkedIn Learning
South Africa,2020,During,41,1.5,60-30-10,FutureLearn
Japan,2018,Before,86,1.9,60-30-10,Alura
Australia,2023,After,45,2.2,60-30-10,Unacademy
South Korea,2022,After,79,4.8,60-30-10,OpenLearning
Italy,2019,Before,46,4.2,60-30-10,Coursera
Japan,2022,After,89,2.5,60-30-10,Alura
Australia,2017,Before,54,3.9,60-30-10,Unacademy
Italy,2017,Before,80,1.1,60-30-10,Coursera
China,2021,During,57,5.4,60-30-10,OpenLearning
Japan,2023,After,33,4.6,60-30-10,Tencent Classroom
Germany,2018,Before,40,4.4,60-30-10,OpenLearning
Japan,2020,During,37,4.3,60-30-10,Coursera
South Korea,2017,Before,43,4.2,60-30-10,OpenLearning
Germany,2023,After,70,4.9,60-30-10,Coursera
France,2021,During,84,0.5,60-30-10,Alura
Russia,2020,During,N/A,3.0,60-30-10,Skillshare
China,2021,During,83,3.9,60-30-10,Skillshare
Japan,2020,During,32,5.2,60-30-10,Coursera
Germany,2019,Before,36,3.1,60-30-10,Coursera
South Korea,2020,During,19,0.8,60-30-10,OpenLearning
Russia,2019,Before,18,5.1,50-40-10,FutureLearn
Mexico,2018,Before,84,3.3,60-30-10,Skillshare
China,2020,During,60,4.4,60-30-10,Alura
Brazil,2023,After,82,5.0,60-30-10,Udemy
France,2020,During,55,3.9,60-30-10,Unacademy
Mexico,2017,Before,74,1.3,60-30-10,Alura
Australia,2021,During,39,4.0,,Udemy
Russia,2018,Before,46,1.2,60-30-10,Coursera
Russia,2024,After,81,4.6,60-30-10,Coursera
China,2022,After,51,3.5,60-30-10,FutureLearn
Russia,2023,After,45,3.9,60-30-10,Skillshare
South Korea,2020,During,81,4.6,60-30-10,Skillshare
Japan,2024,After,67,5.2,60-30-10,FutureLearn
China,2017,Before,48,3.3,60-30-10,FutureLearn
Germany,2020,During,55,3.0,60-30-10,Unacademy
Brazil,2020,During,84,3.8,60-30-10,LinkedIn Learning
France,2021,During,67,5.2,60-30-10,FutureLearn
Brazil,2024,After,54,3.5,60-30-10,Skillshare
Australia,2017,Before,43,0.9,60-30-10,LinkedIn Learning
Australia,2019,Before,72,3.7,60-30-10,Alura
Japan,2017,Before,12,3.8,60-30-10,Coursera
Japan,2017,Before,64,,60-30-10,Coursera
Japan,2020,During,42,2.7,60-30-10,Coursera
Japan,2022,After,69,3.6,60-30-10,FutureLearn
China,2018,Before,44,0.6,60-30-10,OpenLearning
Germany,2020,During,60,1.6,60-30-10,LinkedIn Learning
Australia,2022,After,17,0.8,60-30-10,Udemy
Japan,2018,Before,31,3.3,50-40-10,Coursera
Germany,2023,After,81,1.5,60-30-10,LinkedIn Learning
Australia,2019,Before,88,2.6,60-30-10,Unacademy
France,2017,Before,13,1.9,60-30-10,Tencent Classroom
South Africa,2021,During,28,2.0,60-30-10,Alura
Australia,2020,During,34,4.5,60-30-10,Unacademy
UK,2020,During,88,1.3,60-30-10,Skillshare
China,2020,During,21,5.1,60-30-10,FutureLearn
Australia,2022,After,50,5.4,60-30-10,Alura
Japan,2017,Before,21,4.8,N/A,OpenLearning
Japan,2022,After,11,3.7,60-30-10,LinkedIn Learning
Mexico,2023,After,28,3.3,60-30-10,N/A
UK,2020,During,35,4.9,60-30-10,Unacademy
Russia,2018,Before,45,2.9,60-30-10,OpenLearning
Germany,2020,During,31,1.8,60-30-10,OpenLearning
Japan,2019,Before,58,3.3,60-30-10,LinkedIn Learning
Germany,2021,During,69,2.8,60-30-10,Alura
China,2017,Before,31,3.7,60-30-10,Alura
Brazil,2017,Before,39,3.1,60-30-10,FutureLearn
UK,2017,Before,67,4.0,60-30-10,Tencent Classroom
Japan,2019,Before,31,0.7,60-30-10,Skillshare
South Korea,2019,Before,44,0.7,60-30-10,LinkedIn Learning
Italy,2022,After,59,1.3,60-30-10,Skillshare
Germany,2018,Before,70,4.0,60-30-10,Skillshare
UK,2024,After,39,3.4,60-30-10,OpenLearning
France,2018,Before,64,3.6,60-30-10,
Australia,2018,Before,47,1.9,60-30-10,OpenLearning
Australia,2022,After,82,1.2,60-30-10,Alura
Brazil,2018,Before,79,1.8,60-30-10,Skillshare
South Africa,2022,After,13,3.3,60-30-10,Skillshare
Italy,2021,During,40,3.4,60-30-10,OpenLearning
Japan,2024,After,89,3.4,60-30-10,Udemy
UK,2019,Before,82,4.6,60-30-10,Skillshare
Germany,2022,After,11,5.4,60-30-10,Tencent Classroom
Australia,2019,Before,26,3.5,60-30-10,LinkedIn Learning
Germany,2021,During,62,4.5,60-30-10,Udemy
Italy,2021,During,12,4.6,60-30-10,Alura
France,2019,Before,67,2.7,60-30-10,FutureLearn
Mexico,2020,During,88,3.0,60-30-10,
UK,2022,After,87,5.0,60-30-10,Tencent Classroom
South Africa,2020,During,58,1.8,60-30-10,Coursera
China,2023,After,22,5.2,60-30-10,Unacademy
Brazil,2023,After,33,4.0,60-30-10,Skillshare
Mexico,2022,After,15,3.7,60-30-10,LinkedIn Learning
Brazil,2020,During,42,2.0,60-30-10,FutureLearn
Mexico,2018,Before,75,3.4,60-30-10,Unacademy
South Korea,2023,After,33,2.5,60-30-10,Unacademy
Australia,2022,After,75,2.4,40-50-10,FutureLearn
South Africa,2019,Before,73,2.3,60-30-10,Unacademy
South Korea,2018,Before,61,4.8,60-30-10,Tencent Classroom
Mexico,2024,After,48,2.3,60-30-10,Tencent Classroom
South Africa,2023,After,26,1.8,60-30-10,Unacademy
South Africa,2023,After,66,0.9,60-30-10,Udemy
China,2018,Before,62,0.8,60-30-10,Unacademy
Mexico,2021,During,52,1.0,60-30-10,Alura
UK,2022,After,80,4.2,60-30-10,FutureLearn
China,2021,During,24,0.7,60-30-10,Udemy
Brazil,2017,Before,65,0.5,60-30-10,Alura
Germany,2024,After,86,5.3,60-30-10,Tencent Classroom
France,2024,After,71,1.9,60-30-10,Alura
UK,2022,After,29,3.8,60-30-10,FutureLearn
Japan,2023,After,17,4.1,60-30-10,Skillshare
Russia,2019,Before,87,4.1,60-30-10,Coursera
South Africa,2018,Before,36,2.0,60-30-10,Skillshare
South Africa,2017,Before,23,4.8,60-30-10,LinkedIn Learning
Mexico,2021,During,55,4.1,60-30-10,OpenLearning
South Africa,2023,After,10,3.5,60-30-10,N/A
Brazil,2022,After,23,5.3,60-30-10,FutureLearn
UK,2020,During,38,1.2,60-30-10,Coursera
South Korea,2021,During,28,0.9,60-30-10,Udemy
Russia,2017,Before,11,0.5,60-30-10,Coursera
Brazil,2020,During,51,2.7,60-30-10,OpenLearning
Russia,2023,After,34,1.7,60-30-10,OpenLearning
Russia,2018,Before,76,1.0,60-30-10,FutureLearn
Russia,2018,Before,19,5.4,60-30-10,Unacademy
South Korea,2018,Before,76,1.0,60-30-10,Coursera
Germany,2024,After,57,4.9,60-30-10,Alura
Italy,2024,After,73,2.4,60-30-10,Udemy
France,2017,Before,27,3.8,60-30-10,Udemy
Germany,2022,After,53,1.7,60-30-10,Tencent Classroom
France,2024,After,84,4.0,60-30-10,Alura
France,2024,After,46,1.4,60-30-10,LinkedIn Learning
Russia,2017,Before,25,3.2,60-30-10,Skillshare
France,2019,Before,69,3.0,60-30-10,Coursera
France,2024,After,76,1.5,60-30-10,Coursera
South Africa,2022,After,63,4.1,60-30-10,Udemy
Germany,2019,Before,83,0.8,60-30-10,Udemy
Brazil,2022,After,58,1.0,60-30-10,Coursera
Russia,2019,Before,83,1.5,60-30-10,LinkedIn Learning
Russia,2017,Before,89,3.3,60-30-10,FutureLearn
Japan,2019,Before,50,4.1,60-30-10,Tencent Classroom
Russia,2019,Before,12,4.8,60-30-10,Tencent Classroom
Italy,2019,Before,55,3.4,,Udemy
UK,2022,After,60,2.6,60-30-10,FutureLearn
Italy,2023,After,62,2.5,60-30-10,OpenLearning
China,2020,During,60,1.0,60-30-10,Unacademy
France,2018,Before,69,5.3,60-30-10,Coursera
Russia,2018,Before,12,1.3,60-30-10,FutureLearn
South Africa,2018,Before,31,0.9,60-30-10,Udemy
Brazil,2018,Before,71,0.8,60-30-10,OpenLearning
Brazil,2019,Before,47,5.5,60-30-10,Unacademy
UK,2024,After,19,3.1,60-30-10,Udemy
Australia,2017,Before,26,4.0,60-30-10,Udemy
Italy,2017,Before,78,3.1,60-30-10,FutureLearn
China,2022,After,78,2.7,60-30-10,Alura
Japan,2017,Before,70,2.2,60-30-10,Coursera
Brazil,2020,During,75,N/A,60-30-10,Coursera
Australia,2023,After,56,1.4,60-30-10,Tencent Classroom
Japan,2024,After,22,1.1,60-30-10,FutureLearn
Italy,2017,Before,28,0.5,60-30-10,Alura
Mexico,2023,After,52,1.7,60-30-10,LinkedIn Learning
Russia,2020,During,89,5.3,60-30-10,Skillshare
Germany,2023,After,26,3.5,60-30-10,Alura
China,2023,After,24,4.8,60-30-10,Tencent Classroom
Russia,2022,After,46,0.5,60-30-10,OpenLearning
China,2018,Before,84,2.1,60-30-10,Unacademy
South Africa,2023,After,19,0.8,60-30-10,Udemy
France,2018,Before,67,5.0,60-30-10,LinkedIn Learning
Australia,2018,Before,82,1.8,60-30-10,LinkedIn Learning
Germany,2017,Before,69,0.8,60-30-10,Alura
Russia,2017,Before,78,0.8,60-30-10,Tencent Classroom
South Korea,2022,After,61,2.0,60-30-10,Alura
China,2020,During,55,3.3,60-30-10,LinkedIn Learning
Mexico,2022,After,69,4.3,60-30-10,LinkedIn Learning
Mexico,2023,After,86,0.5,60-30-10,LinkedIn Learning
Russia,2024,After,84,4.0,60-30-10,FutureLearn
Russia,2018,Before,90,1.9,60-30-10,Coursera
UK,2021,During,76,1.7,60-30-10,Skillshare
Mexico,2023,After,67,3.1,60-30-10,Alura
Brazil,2022,After,24,2.8,60-30-10,LinkedIn Learning
China,2020,During,N/A,1.2,60-30-10,Coursera
Brazil,2018,Before,63,2.6,60-30-10,Skillshare
South Africa,2023,After,88,4.7,60-30-10,Coursera
Brazil,2018,Before,44,0.6,60-30-10,Alura
Mexico,2020,During,15,0.9,60-30-10,Udemy
Japan,2024,After,17,1.1,60-30-10,Tencent Classroom
South Africa,2019,Before,52,3.9,60-30-10,OpenLearning
Brazil,2022,After,14,4.2,40-50-10,OpenLearning
Russia,2021,During,84,4.3,60-30-10,LinkedIn Learning
Germany,2023,After,33,1.1,,Skillshare
Brazil,2017,Before,64,0.9,60-30-10,LinkedIn Learning
Russia,2023,After,80,4.1,60-30-10,Alura
Russia,2022,After,52,2.9,60-30-10,Udemy
Australia,2020,During,49,4.7,60-30-10,Unacademy
Italy,2023,After,63,4.8,60-30-10,Alura
China,2022,After,22,,60-30-10,Unacademy
UK,2017,Before,37,4.0,60-30-10,Tencent Classroom
Germany,2019,Before,45,1.7,60-30-10,OpenLearning
Brazil,2021,During,42,5.3,60-30-10,Unacademy
Russia,2018,Before,58,5.1,60-30-10,Tencent Classroom
Russia,2020,During,53,0.7,60-30-10,FutureLearn
South Africa,2017,Before,61,1.5,60-30-10,Tencent Classroom
South Africa,2023,After,76,5.0,60-30-10,Skillshare
Italy,2022,After,61,1.0,60-30-10,Udemy
Japan,2021,During,19,2.7,60-30-10,Skillshare
Italy,2017,Before,72,0.7,60-30-10,Tencent Classroom
Mexico,2021,During,88,3.4,60-30-10,LinkedIn Learning
France,2023,After,64,0.9,60-30-10,Coursera
China,2017,Before,81,4.1,60-30-10,FutureLearn
Japan,2022,After,66,0.8,60-30-10,Udemy
Russia,2020,During,29,1.8,60-30-10,Coursera
Italy,2018,Before,50,4.8,60-30-10,Udemy
South Korea,2018,Before,76,4.5,50-40-10,Alura
South Africa,2019,Before,75,5.4,60-30-10,Alura
France,2017,Before,16,2.8,60-30-10,Unacademy
Germany,2018,Before,69,4.1,60-30-10,Udemy
Russia,2022,After,27,4.2,60-30-10,
Germany,2020,During,52,2.0,60-30-10,FutureLearn
Brazil,2019,Before,31,1.7,60-30-10,Skillshare
France,2017,Before,67,4.2,60-30-10,FutureLearn
China,2019,Before,75,2.2,60-30-10,Tencent Classroom
Mexico,2017,Before,62,0.8,60-30-10,Alura
Brazil,2022,After,56,4.2,60-30-10,Tencent Classroom
Russia,2020,During,55,4.2,60-30-10,Alura
Australia,2023,After,72,4.3,60-30-10,Udemy
Mexico,2020,During,35,2.0,60-30-10,Alura
Germany,2023,After,32,4.2,60-30-10,Udemy
Japan,2023,After,44,4.9,60-30-10,Alura
Australia,2024,After,31,0.9,60-30-10,Skillshare
Mexico,2018,Before,56,2.0,60-30-10,Unacademy
China,2024,After,84,4.0,60-30-10,FutureLearn
Brazil,2021,During,60,4.9,60-30-10,Skillshare
South Africa,2021,During,88,2.6,60-30-10,Tencent Classroom
Australia,2024,After,42,5.4,60-30-10,Tencent Classroom
South Africa,2019,Before,85,5.0,60-30-10,Tencent Classroom
France,2017,Before,61,4.2,60-30-10,Udemy
UK,2021,During,10,1.2,60-30-10,Udemy
Russia,2023,After,72,1.8,50-40-10,Tencent Classroom
France,2019,Before,74,1.4,60-30-10,Coursera
South Korea,2023,After,31,4.7,60-30-10,Skillshare
Italy,2018,Before,39,N/A,60-30-10,Coursera
South Korea,2024,After,55,3.0,60-30-10,OpenLearning
Japan,2024,After,73,1.6,60-30-10,Coursera
UK,2019,Before,66,3.8,60-30-10,Skillshare
Brazil,2022,After,90,5.4,60-30-10,N/A
Mexico,2024,After,14,2.7,60-30-10,Skillshare
South Africa,2019,Before,47,1.6,60-30-10,FutureLearn
South Korea,2023,After,38,0.9,60-30-10,Unacademy
Australia,2022,After,65,2.1,60-30-10,LinkedIn Learning
China,2018,Before,60,1.0,60-30-10,Unacademy
Russia,2017,Before,47,4.5,60-30-10,Tencent Classroom
China,2021,During,81,2.3,60-30-10,Skillshare
Germany,2018,Before,57,4.2,N/A,Coursera
Italy,2019,Before,39,4.5,60-30-10,Coursera
Mexico,2023,After,29,0.7,60-30-10,OpenLearning
Japan,2023,After,44,5.0,60-30-10,LinkedIn Learning
France,2022,After,25,3.7,60-30-10,LinkedIn Learning
Japan,2022,After,10,1.1,60-30-10,Alura
Italy,2023,After,62,4.7,60-30-10,
Germany,2020,During,67,1.6,60-30-10,Alura
Russia,2020,During,60,2.9,60-30-10,Udemy
Brazil,2019,Before,29,2.6,60-30-10,Tencent Classroom
Brazil,2021,During,41,4.3,60-30-10,Unacademy
Italy,2020,During,23,0.8,60-30-10,Tencent Classroom
Mexico,2018,Before,45,5.0,60-30-10,Skillshare
UK,2024,After,52,4.3,60-30-10,FutureLearn
France,2022,After,25,2.6,60-30-10,Udemy
Japan,2017,Before,29,1.2,60-30-10,FutureLearn
Russia,2020,During,52,4.5,60-30-10,OpenLearning
South Africa,2024,After,82,5.4,60-30-10,Unacademy
France,2023,After,41,1.6,60-30-10,Skillshare
Japan,2024,After,41,4.7,60-30-10,Udemy
Italy,2022,After,66,1.5,60-30-10,FutureLearn
Brazil,2021,During,63,1.5,60-30-10,Alura
Germany,2020,During,44,1.1,60-30-10,Coursera
France,2022,After,80,3.4,60-30-10,Udemy
South Korea,2021,During,11,2.8,60-30-10,Coursera
Japan,2024,After,54,1.5,60-30-10,Alura
France,2023,After,24,2.2,60-30-10,FutureLearn
South Korea,2019,Before,46,0.6,60-30-10,LinkedIn Learning
Japan,2023,After,78,2.1,60-30-10,Coursera
Mexico,2024,After,35,4.6,60-30-10,Unacademy
South Africa,2018,Before,80,1.1,60-30-10,OpenLearning
France,2020,During,58,1.9,60-30-10,Coursera
Japan,2022,After,71,3.5,60-30-10,Tencent Classroom
UK,2020,During,72,1.7,N/A,Unacademy
Germany,2020,During,30,1.9,60-30-10,LinkedIn Learning
Australia,2023,After,90,3.6,60-30-10,OpenLearning
Italy,2023,After,70,3.8,60-30-10,Udemy
Australia,2019,Before,14,3.2,60-30-10,Alura
China,2019,Before,39,3.8,60-30-10,Alura
Italy,2023,After,51,4.4,60-30-10,Skillshare
UK,2024,After,56,1.2,60-30-10,OpenLearning
South Korea,2019,Before,87,2.8,60-30-10,Coursera
Australia,2020,During,13,5.2,40-50-10,Tencent Classroom
Russia,2018,Before,80,4.5,60-30-10,Skillshare
South Africa,2018,Before,69,3.1,60-30-10,Skillshare
Japan,2022,After,55,5.1,60-30-10,OpenLearning
Mexico,2020,During,66,1.4,60-30-10,Alura
Italy,2017,Before,24,3.1,60-30-10,Unacademy
Brazil,2021,During,17,4.9,60-30-10,Alura
France,2024,After,50,4.9,60-30-10,Udemy
Japan,2018,Before,17,2.5,60-30-10,Alura
Russia,2021,During,51,2.4,60-30-10,Skillshare
Germany,2020,During,57,0.7,60-30-10,Alura
Mexico,2020,During,78,3.9,60-30-10,Unacademy
UK,2020,During,86,3.0,60-30-10,Tencent Classroom
Brazil,2020,During,11,3.9,60-30-10,Skillshare
South Korea,2017,Before,,2.9,60-30-10,Tencent Classroom
France,2023,After,35,4.5,60-30-10,OpenLearning
Italy,2019,Before,85,3.0,60-30-10,Udemy
France,2018,Before,53,2.1,60-30-10,OpenLearning
Japan,2018,Before,34,2.8,60-30-10,Alura
Brazil,2024,After,61,3.1,60-30-10,Skillshare
Japan,2019,Before,76,3.4,60-30-10,Tencent Classroom
Italy,2019,Before,63,2.2,60-30-10,Unacademy
UK,2019,Before,26,3.5,60-30-10,LinkedIn Learning
Brazil,2021,During,64,3.9,60-30-10,Unacademy
Italy,2017,Before,22,1.9,60-30-10,Udemy
Australia,2018,Before,68,3.7,60-30-10,Skillshare
South Africa,2021,During,62,2.3,60-30-10,LinkedIn Learning
Australia,2020,During,82,0.9,60-30-10,Unacademy
UK,2024,After,63,5.0,60-30-10,Unacademy
Australia,2017,Before,71,2.9,60-30-10,Alura
Brazil,2022,After,38,4.3,60-30-10,Udemy
France,2022,After,23,5.0,60-30-10,Alura
China,2019,Before,65,2.4,60-30-10,Unacademy
China,2018,Before,62,3.1,60-30-10,FutureLearn
Germany,2022,After,77,3.7,60-30-10,Alura
South Africa,2021,During,19,2.5,60-30-10,Skillshare
South Africa,2024,After,16,0.5,60-30-10,LinkedIn Learning
South Africa,2019,Before,59,0.6,60-30-10,FutureLearn
China,2017,Before,30,3.8,60-30-10,Coursera
Russia,2024,After,13,1.4,60-30-10,Skillshare
Germany,2022,After,18,3.8,60-30-10,Tencent Classroom
Australia,2022,After,15,3.2,60-30-10,OpenLearning
South Africa,2018,Before,82,3.7,60-30-10,Udemy
Italy,2018,Before,41,5.3,60-30-10,Udemy
Russia,2021,During,59,2.9,60-30-10,Alura
Germany,2024,After,86,1.3,60-30-10,LinkedIn Learning
Germany,2018,Before,15,2.4,60-30-10,Unacademy
Italy,2023,After,85,5.5,60-30-10,Udemy
Brazil,2023,After,54,4.5,60-30-10,Coursera
Italy,2022,After,75,4.0,60-30-10,Unacademy
France,2019,Before,60,2.5,60-30-10,Coursera
Italy,2020,During,13,2.5,60-30-10,Alura
Australia,2023,After,39,5.3,60-30-10,Udemy
Brazil,2022,After,55,0.6,60-30-10,FutureLearn
China,2023,After,12,4.0,60-30-10,LinkedIn Learning
Germany,2022,After,12,1.8,60-30-10,Udemy
Germany,2018,Before,87,N/A,60-30-10,Udemy
Russia,2020,During,51,1.4,60-30-10,Alura
Mexico,2017,Before,12,2.3,60-30-10,Tencent Classroom
UK,2022,After,37,4.5,60-30-10,Tencent Classroom
China,2024,After,33,5.1,60-30-10,LinkedIn Learning
Brazil,2019,Before,89,3.6,60-30-10,Alura
Japan,2023,After,28,1.4,60-30-10,Udemy
Brazil,2024,After,35,2.2,60-30-10,Udemy
Brazil,2022,After,69,1.5,60-30-10,OpenLearning
Russia,2023,After,64,5.4,60-30-10,Alura
UK,2024,After,10,1.2,60-30-10,Unacademy
Japan,2017,Before,53,4.7,60-30-10,OpenLearning
China,2021,During,20,5.0,60-30-10,OpenLearning
Australia,2022,After,85,3.9,60-30-10,Coursera
Australia,2024,After,84,1.2,60-30-10,Skillshare
Germany,2023,After,81,0.8,60-30-10,Tencent Classroom
Russia,2022,After,12,3.0,60-30-10,LinkedIn Learning
Mexico,2024,After,52,0.9,60-30-10,Tencent Classroom
Japan,2024,After,22,2.8,N/A,Udemy
Mexico,2021,During,70,5.3,60-30-10,Coursera
Mexico,2023,After,46,2.8,60-30-10,Skillshare
Australia,2023,After,57,4.0,60-30-10,LinkedIn Learning
China,2021,During,68,1.7,60-30-10,Skillshare
Australia,2023,After,85,4.5,60-30-10,Unacademy
Italy,2023,After,22,4.7,60-30-10,LinkedIn Learning
UK,2023,After,58,1.5,60-30-10,OpenLearning
France,2017,Before,81,1.0,60-30-10,Tencent Classroom
Mexico,2021,During,54,1.5,60-30-10,LinkedIn Learning
UK,2022,After,34,4.9,60-30-10,OpenLearning
France,2020,During,39,4.4,60-30-10,Tencent Classroom
Brazil,2022,After,52,1.9,60-30-10,Skillshare
Japan,2019,Before,45,0.5,60-30-10,FutureLearn
Japan,2019,Before,18,2.5,60-30-10,OpenLearning
Italy,2019,Before,79,4.1,60-30-10,Skillshare
Mexico,2017,Before,65,3.8,60-30-10,Alura
China,2021,During,67,5.2,60-30-10,Unacademy
Russia,2019,Before,50,1.0,60-30-10,Tencent Classroom
Mexico,2022,After,71,0.7,60-30-10,Tencent Classroom
Australia,2018,Before,14,1.4,60-30-10,Udemy
China,2017,Before,22,4.9,60-30-10,FutureLearn
South Korea,2018,Before,69,4.7,60-30-10,FutureLearn
Japan,2023,After,63,4.0,60-30-10,LinkedIn Learning
Japan,2021,During,77,2.3,60-30-10,OpenLearning
UK,2021,During,87,1.1,60-30-10,Tencent Classroom
Italy,2020,During,31,4.8,60-30-10,Unacademy
Mexico,2023,After,33,2.0,60-30-10,Skillshare
France,2020,During,23,1.5,60-30-10,Unacademy
South Korea,2020,During,59,4.0,60-30-10,OpenLearning
Brazil,2018,Before,57,0.8,60-30-10,LinkedIn Learning
Germany,2020,During,87,,60-30-10,Tencent Classroom
South Korea,2022,After,63,0.5,60-30-10,Coursera
South Korea,2019,Before,86,1.2,60-30-10,Skillshare
Russia,2019,Before,27,,60-30-10,Coursera
Japan,2018,Before,37,4.9,60-30-10,Coursera
Brazil,2019,Before,74,1.6,60-30-10,Tencent Classroom
Russia,2019,Before,71,1.8,60-30-10,OpenLearning
China,2019,Before,61,0.7,60-30-10,FutureLearn
China,2017,Before,74,3.9,60-30-10,Tencent Classroom
France,2024,After,82,3.6,60-30-10,Skillshare
Germany,2024,After,67,0.9,60-30-10,Alura
Japan,2018,Before,35,2.3,60-30-10,Tencent Classroom
Australia,2018,Before,82,2.9,60-30-10,Alura
China,2022,After,57,2.0,60-30-10,Coursera
UK,2017,Before,76,4.8,60-30-10,Alura
Germany,2023,After,49,5.2,60-30-10,Tencent Classroom
Japan,2023,After,25,3.0,60-30-10,FutureLearn
Italy,2022,After,28,5.3,60-30-10,LinkedIn Learning
Mexico,2017,Before,53,4.1,40-50-10,Unacademy
Brazil,2022,After,53,5.1,60-30-10,Tencent Classroom
South Africa,2017,Before,73,3.6,60-30-10,Tencent Classroom
China,2018,Before,22,3.2,60-30-10,Unacademy
South Africa,2023,After,72,4.7,60-30-10,Alura
France,2019,Before,73,4.9,60-30-10,OpenLearning
Germany,2020,During,32,3.9,60-30-10,OpenLearning
South Korea,2017,Before,47,4.0,60-30-10,Skillshare
China,2019,Before,85,5.4,60-30-10,Skillshare
South Africa,2019,Before,25,4.6,60-30-10,Skillshare
South Africa,2021,During,13,3.7,60-30-10,LinkedIn Learning
Russia,2022,After,70,5.4,60-30-10,OpenLearning
Mexico,2021,During,88,1.3,60-30-10,Unacademy
Russia,2023,After,16,2.3,60-30-10,Udemy
Australia,2019,Before,69,5.4,60-30-10,Udemy
UK,2023,After,13,3.7,60-30-10,Skillshare
Brazil,2021,During,11,0.8,60-30-10,FutureLearn
Australia,2019,Before,50,2.1,60-30-10,FutureLearn
South Africa,2018,Before,55,3.4,60-30-10,LinkedIn Learning
Italy,2022,After,62,5.1,60-30-10,Skillshare
South Korea,2020,During,N/A,N/A,60-30-10,Udemy
Mexico,2023,After,84,3.1,60-30-10,OpenLearning
Japan,2023,After,22,2.8,60-30-10,OpenLearning
France,2021,During,N/A,4.4,60-30-10,Tencent Classroom
Mexico,2024,After,88,2.6,60-30-10,Coursera
UK,2020,During,79,4.5,60-30-10,OpenLearning
Germany,2022,After,68,4.6,60-30-10,FutureLearn
China,2018,Before,64,4.2,60-30-10,Unacademy
Japan,2020,During,65,5.3,60-30-10,Coursera
Australia,2024,After,81,3.4,60-30-10,OpenLearning
Italy,2017,Before,13,1.3,60-30-10,OpenLearning
South Korea,2024,After,13,3.6,60-30-10,N/A
Mexico,2023,After,30,3.8,60-30-10,Unacademy
South Africa,2024,After,14,3.1,60-30-10,Alura
Italy,2019,Before,60,1.1,60-30-10,Udemy
Russia,2021,During,30,3.9,60-30-10,Unacademy
Australia,2019,Before,36,1.9,60-30-10,LinkedIn Learning
South Korea,2023,After,11,1.3,60-30-10,FutureLearn
South Korea,2022,After,37,3.6,60-30-10,Alura
UK,2019,Before,15,0.7,60-30-10,FutureLearn
France,2022,After,29,5.3,60-30-10,Udemy
Brazil,2017,Before,35,4.6,60-30-10,Coursera
Japan,2017,Before,23,4.9,60-30-10,LinkedIn Learning
Japan,2023,After,69,1.1,60-30-10,Skillshare
UK,2021,During,43,4.3,60-30-10,Tencent Classroom
South Africa,2020,During,70,2.3,60-30-10,FutureLearn
Italy,2024,After,64,0.6,60-30-10,OpenLearning
South Korea,2021,During,88,2.8,60-30-10,Coursera
France,2017,Before,59,4.1,60-30-10,LinkedIn Learning
Japan,2019,Before,15,0.7,60-30-10,
Russia,2022,After,42,0.6,60-30-10,Skillshare
Australia,2022,After,77,4.7,60-30-10,LinkedIn Learning
UK,2021,During,60,4.5,60-30-10,FutureLearn
Russia,2022,After,25,2.1,60-30-10,Udemy
China,2022,After,15,1.7,60-30-10,Coursera
Russia,2017,Before,43,4.6,60-30-10,LinkedIn Learning
Russia,2024,After,54,0.6,60-30-10,Tencent Classroom
South Korea,2017,Before,68,3.5,60-30-10,Unacademy
France,2017,Before,85,4.1,60-30-10,Unacademy
Russia,2020,During,30,2.0,60-30-10,LinkedIn Learning
South Korea,2023,After,17,4.2,60-30-10,Udemy
Italy,2017,Before,88,1.3,60-30-10,Tencent Classroom
Russia,2021,During,66,0.5,60-30-10,FutureLearn
Australia,2020,During,,3.8,,OpenLearning
France,2020,During,77,4.5,60-30-10,Coursera
Mexico,2017,Before,50,4.4,60-30-10,OpenLearning
France,2018,Before,37,2.4,60-30-10,Alura
Germany,2021,During,71,4.5,60-30-10,FutureLearn
Japan,2018,Before,38,2.1,60-30-10,Coursera
Germany,2019,Before,62,3.4,60-30-10,Tencent Classroom
South Korea,2021,During,80,0.8,60-30-10,Unacademy
Russia,2019,Before,68,3.0,60-30-10,Unacademy
Brazil,2019,Before,68,0.5,60-30-10,OpenLearning
Australia,2023,After,16,3.5,60-30-10,Tencent Classroom
South Africa,2017,Before,45,3.1,60-30-10,FutureLearn
Russia,2021,During,33,5.3,60-30-10,Tencent Classroom
Australia,2021,During,86,5.2,,OpenLearning
Australia,2020,During,39,4.2,60-30-10,FutureLearn
Italy,2024,After,56,0.8,60-30-10,LinkedIn Learning
Japan,2020,During,29,1.9,60-30-10,Unacademy
